epoch,med_flips,mean_flips,med_backflips,mean_backflips,accuracy,loss
1,211.00,426.91,173.00,386.28,99.95,0.03
2,183.00,352.15,142.00,311.54,100.00,0.03
3,156.00,299.42,116.00,258.95,100.00,0.03
4,127.00,248.45,87.00,208.04,100.00,0.03
5,102.00,183.38,63.00,143.12,100.00,0.03
6,83.00,146.28,43.00,105.89,100.00,0.03
7,76.00,124.39,35.00,83.57,100.00,0.03
8,70.00,114.78,30.00,73.69,100.00,0.02
9,70.00,104.69,28.00,63.52,100.00,0.02
10,67.00,105.75,26.00,63.99,100.00,0.02
11,68.00,106.71,26.00,64.85,100.00,0.02
12,66.00,101.52,25.00,59.65,100.00,0.02
13,67.00,101.87,25.00,59.85,100.00,0.02
14,68.00,101.14,26.00,58.80,100.00,0.02
15,64.00,99.81,23.00,57.99,100.00,0.02
16,64.50,96.20,23.00,54.18,100.00,0.02
17,65.00,99.42,23.00,57.46,100.00,0.02
18,67.00,104.03,25.00,61.63,100.00,0.02
19,65.00,96.53,24.00,54.69,100.00,0.02
20,65.00,100.06,24.00,58.00,100.00,0.02
21,65.00,97.86,24.00,55.96,100.00,0.02
22,65.00,101.80,23.00,59.63,100.00,0.02
23,66.00,100.79,24.00,58.74,100.00,0.02
24,65.00,99.99,24.00,57.97,100.00,0.02
25,64.00,95.76,23.00,54.09,100.00,0.02
26,64.00,97.90,23.00,56.10,100.00,0.02
27,64.00,99.44,23.00,57.45,100.00,0.02
28,67.00,98.69,24.00,56.38,100.00,0.02
29,64.00,98.55,23.00,56.41,100.00,0.02
30,63.00,98.14,22.00,56.23,100.00,0.02
31,62.00,94.86,21.00,53.11,100.00,0.02
32,63.00,98.45,22.00,56.56,100.00,0.02
33,64.00,94.57,22.00,53.03,100.00,0.02
34,62.00,94.76,21.00,52.86,100.00,0.01
35,66.00,98.09,24.00,55.90,100.00,0.01
36,65.00,98.00,24.00,55.77,100.00,0.01
37,65.00,93.46,23.00,51.53,100.00,0.02
38,63.00,99.04,22.00,57.30,100.00,0.01
39,62.00,98.85,21.00,57.15,100.00,0.01
40,63.00,99.67,22.00,57.78,100.00,0.01
41,64.00,99.56,22.00,57.42,100.00,0.01
42,62.00,95.30,21.00,53.44,100.00,0.01
43,64.00,97.28,22.50,55.00,100.00,0.01
44,63.00,98.09,21.00,56.18,100.00,0.01
45,65.50,97.56,24.00,55.44,100.00,0.01
46,63.00,99.14,22.00,56.97,100.00,0.01
47,63.00,95.02,22.00,53.11,100.00,0.01
48,65.00,99.77,23.00,57.24,100.00,0.01
49,64.00,96.43,23.00,54.33,100.00,0.01
50,64.50,98.42,23.00,56.18,100.00,0.01
51,63.00,97.10,22.00,54.92,100.00,0.01
52,63.00,95.54,22.00,53.68,100.00,0.01
53,64.00,101.84,22.00,59.64,100.00,0.01
54,63.00,95.15,22.00,53.31,100.00,0.01
55,63.50,95.63,22.00,53.58,100.00,0.01
56,63.00,96.31,22.00,54.52,100.00,0.01
57,62.00,97.67,21.00,55.70,100.00,0.01
58,66.00,99.16,24.00,56.81,100.00,0.01
59,63.00,97.71,22.00,55.58,100.00,0.01
60,61.00,95.41,20.00,53.55,100.00,0.01
