epoch,med_flips,mean_flips,accuracy,loss,ci_mean_flips1,ci_mean_flip_2,ci_med_flips1,ci_med_flip_2,parm1,parm2,parm3
5,94.00,161.78,100.00,0.03,157.40,174.60,91.50,91.50,0.43,0.42,0.01
10,66.00,109.32,100.00,0.02,106.60,116.46,65.00,65.00,0.43,0.42,0.01
15,64.50,96.25,100.00,0.02,93.96,102.47,63.00,63.00,0.43,0.42,0.01
20,65.00,99.65,100.00,0.02,97.30,106.30,64.00,64.00,0.43,0.42,0.01
25,64.00,97.40,100.00,0.02,95.33,103.50,63.00,63.00,0.43,0.42,0.01
30,67.00,93.08,100.00,0.02,91.27,98.72,65.00,65.00,0.43,0.42,0.01
35,65.00,93.10,100.00,0.01,90.93,98.98,63.00,63.00,0.43,0.42,0.01
40,66.00,98.69,100.00,0.01,96.88,105.00,65.00,65.00,0.43,0.42,0.01
45,68.00,103.03,100.00,0.01,100.94,109.71,67.00,67.00,0.43,0.42,0.01
50,65.00,98.09,100.00,0.01,95.91,103.66,64.38,64.38,0.43,0.42,0.01
55,64.00,98.08,100.00,0.02,96.25,103.37,63.00,63.00,0.43,0.42,0.01
60,62.00,97.27,100.00,0.01,95.32,102.68,62.00,62.00,0.43,0.42,0.01
