dataset,size,d,num_epochs,best_med_flips,best_epoch
domset,4-12-0.2,0.3,60,49.75,25
domset,4-12-0.2,0.5,60,57.50,40
domset,4-12-0.2,0.7,60,55.25,35
domset,4-12-0.2,0.9,60,56.50,55
kclique,3-20-0.05,0.3,60,59.00,40
kclique,3-20-0.05,0.7,60,67.75,25
kclique,3-20-0.05,0.9,60,70.50,55
kcolor,5-20-0.5,0.3,60,101.25,35
kcolor,5-20-0.5,0.5,60,101.75,45
kcolor,5-20-0.5,0.7,60,105.50,15
kcolor,5-20-0.5,0.9,60,102.75,40
rand3sat,100-426,0.3,60,417.00,55
rand3sat,100-426,0.5,60,495.50,15
rand3sat,100-426,0.7,60,511.75,50
rand3sat,100-426,0.9,60,508.25,45
rand3sat,200-852,0.5,60,2753.00,50
rand3sat,50-213,0.1,60,115.00,45
rand3sat,50-213,0.2,60,109.50,45
rand3sat,50-213,0.3,60,94.25,55
rand3sat,50-213,0.6,60,106.00,55
rand3sat,50-213,0.7,60,117.00,20
rand3sat,50-213,0.8,60,104.75,35
rand3sat,50-213,0.9,60,115.25,25
rand3sat,75-320,0.3,60,194.00,35
rand3sat,75-320,0.5,60,232.25,20
rand3sat,75-320,0.7,60,186.00,60
rand3sat,75-320,0.9,60,188.25,35
rand4sat,30-292,0.3,60,136.50,35
rand4sat,30-292,0.5,60,128.50,45
rand4sat,30-292,0.7,60,125.50,25
rand4sat,30-292,0.9,60,117.75,55
